file,duration_sec,gender,speech_ratio,music_ratio,noise_ratio,is_speech,is_music,snr_db,whisper_lang,whisper_lang_prob,whisper_en_prob,is_english,speaker_id
sample_000.wav,14.0,male,0.97,0.0,0.03,True,False,40.9,tr,0.284,0.177,False,spk_000
sample_001.wav,8.98,male,1.0,0.0,0.0,True,False,34.6,bn,0.801,0.007,False,spk_011
sample_002.wav,15.02,male,1.0,0.0,0.0,True,False,13.9,ar,0.819,0.026,False,spk_000
sample_003.wav,11.98,male,1.0,0.0,0.0,True,False,17.4,bn,0.16,0.015,False,spk_003
sample_004.wav,6.0,male,0.93,0.0,0.07,True,False,35.3,bn,0.716,0.006,False,spk_007
sample_005.wav,5.02,female,0.87,0.0,0.13,True,False,32.7,ml,0.779,0.008,False,spk_005
sample_006.wav,9.98,male,0.95,0.0,0.05,True,False,36.0,en,0.325,0.325,True,spk_007
sample_007.wav,8.98,male,1.0,0.0,0.0,True,False,32.6,fa,0.696,0.064,False,spk_000
sample_008.wav,6.0,male,0.19,0.72,0.09,False,True,24.1,ur,0.293,0.233,False,spk_001
sample_009.wav,8.98,male,1.0,0.0,0.0,True,False,29.0,tr,0.238,0.074,False,spk_010
sample_010.wav,9.02,male,0.81,0.0,0.19,True,False,56.8,ar,0.338,0.32,True,spk_000
sample_011.wav,5.02,male,1.0,0.0,0.0,True,False,33.8,la,0.443,0.035,False,spk_003
sample_012.wav,15.0,male,0.94,0.0,0.06,True,False,42.5,hy,0.367,0.012,False,spk_000
sample_013.wav,12.98,male,1.0,0.0,0.0,True,False,34.9,fa,0.262,0.083,False,spk_010
sample_014.wav,14.0,male,0.96,0.0,0.04,True,False,28.6,bn,0.522,0.096,False,spk_000
sample_015.wav,8.0,male,0.45,0.47,0.08,False,False,35.4,ps,0.358,0.019,False,spk_000
sample_016.wav,15.0,male,1.0,0.0,0.0,True,False,18.9,en,0.222,0.222,False,spk_000
sample_017.wav,7.0,female,0.75,0.0,0.25,True,False,76.2,en,0.985,0.985,True,spk_013
sample_018.wav,10.0,male,0.97,0.0,0.03,True,False,30.2,bn,0.295,0.007,False,spk_007
